Timestamp, Device ID, Start Time, Received Time, Delay (ms)
2022-01-13 17:11:38,NF2,1642068698.5399218,1642068698.5399876,0.07
2022-01-13 17:11:38,NF1,1642068698.6117306,1642068698.6117895,0.06
2022-01-13 17:11:40,NF2,1642068700.709105,1642068700.7091763,0.07
2022-01-13 17:11:40,NF1,1642068700.7836843,1642068700.7837589,0.07
2022-01-13 17:11:42,NF1,1642068702.9412162,1642068702.941282,0.07
2022-01-13 17:11:43,NF2,1642068703.0415263,1642068703.0415525,0.03
2022-01-13 17:11:45,NF2,1642068705.2209644,1642068705.2209888,0.02
2022-01-13 17:11:45,NF1,1642068705.279778,1642068705.279811,0.03
2022-01-13 17:11:47,NF2,1642068707.3833745,1642068707.3834536,0.08
2022-01-13 17:11:47,NF1,1642068707.4488096,1642068707.448844,0.03
2022-01-13 17:11:49,NF1,1642068709.6440256,1642068709.6441207,0.1
2022-01-13 17:11:50,NF2,1642068710.029357,1642068710.0293849,0.03
2022-01-13 17:11:52,NF2,1642068712.201761,1642068712.2018015,0.04
2022-01-13 17:11:52,NF1,1642068712.2557862,1642068712.2558112,0.03
2022-01-13 17:11:54,NF2,1642068714.5587204,1642068714.558808,0.09
2022-01-13 17:11:54,NF1,1642068714.560475,1642068714.5605242,0.05
2022-01-13 17:11:56,NF2,1642068716.510223,1642068716.5103195,0.1
2022-01-13 17:11:56,NF1,1642068716.5783713,1642068716.5784397,0.07
2022-01-13 17:11:58,NF2,1642068718.6740363,1642068718.6741076,0.07
2022-01-13 17:11:58,NF1,1642068718.7601771,1642068718.7602413,0.06
2022-01-13 17:12:00,NF1,1642068720.9017785,1642068720.9018385,0.06
2022-01-13 17:12:01,NF2,1642068721.0206199,1642068721.0206857,0.07
2022-01-13 17:12:03,NF2,1642068723.2886672,1642068723.2887843,0.12
2022-01-13 17:12:03,NF1,1642068723.3246467,1642068723.3246703,0.02
2022-01-13 17:12:05,NF2,1642068725.358348,1642068725.3583765,0.03
2022-01-13 17:12:05,NF1,1642068725.4429984,1642068725.4430606,0.06
2022-01-13 17:12:07,NF1,1642068727.5913162,1642068727.5913758,0.06
2022-01-13 17:12:08,NF2,1642068728.0015807,1642068728.0016108,0.03
2022-01-13 17:12:10,NF2,1642068730.179493,1642068730.1795838,0.09
2022-01-13 17:12:10,NF1,1642068730.2416599,1642068730.2417097,0.05
2022-01-13 17:12:12,NF2,1642068732.3565345,1642068732.3570635,0.53
2022-01-13 17:12:12,NF1,1642068732.4266644,1642068732.426704,0.04
2022-01-13 17:12:14,NF2,1642068734.5151386,1642068734.51518,0.04
2022-01-13 17:12:14,NF1,1642068734.5831938,1642068734.5832367,0.04
2022-01-13 17:12:16,NF2,1642068736.658595,1642068736.6586916,0.1
2022-01-13 17:12:16,NF1,1642068736.721476,1642068736.7215464,0.07
2022-01-13 17:12:18,NF1,1642068738.8879166,1642068738.8879645,0.05
2022-01-13 17:12:18,NF2,1642068738.9920335,1642068738.9920688,0.04
2022-01-13 17:12:21,NF2,1642068741.1559494,1642068741.1559966,0.05
2022-01-13 17:12:21,NF1,1642068741.2256389,1642068741.2257125,0.07
2022-01-13 17:12:23,NF2,1642068743.3485763,1642068743.3486354,0.06
2022-01-13 17:12:23,NF1,1642068743.431339,1642068743.4313936,0.05
2022-01-13 17:12:25,NF1,1642068745.58991,1642068745.589962,0.05
2022-01-13 17:12:25,NF2,1642068745.9727662,1642068745.97281,0.04
2022-01-13 17:12:28,NF2,1642068748.160488,1642068748.1605663,0.08
2022-01-13 17:12:28,NF1,1642068748.2115023,1642068748.2115269,0.02
2022-01-13 17:12:30,NF2,1642068750.3095353,1642068750.3096168,0.08
2022-01-13 17:12:30,NF1,1642068750.393415,1642068750.3934674,0.05
2022-01-13 17:12:32,NF2,1642068752.4565399,1642068752.456592,0.05
2022-01-13 17:12:32,NF1,1642068752.5368164,1642068752.5368621,0.05
2022-01-13 17:12:34,NF2,1642068754.6143515,1642068754.6144218,0.07
2022-01-13 17:12:34,NF1,1642068754.7024584,1642068754.702517,0.06
2022-01-13 17:12:36,NF1,1642068756.8500967,1642068756.8501313,0.03
2022-01-13 17:12:36,NF2,1642068756.963528,1642068756.963563,0.04
2022-01-13 17:12:39,NF2,1642068759.1311517,1642068759.131207,0.06
2022-01-13 17:12:39,NF1,1642068759.216519,1642068759.216564,0.04
2022-01-13 17:12:41,NF2,1642068761.290463,1642068761.2905507,0.09
2022-01-13 17:12:41,NF1,1642068761.3578763,1642068761.3579316,0.06
2022-01-13 17:12:43,NF1,1642068763.534145,1642068763.5342832,0.14
2022-01-13 17:12:43,NF2,1642068763.9324737,1642068763.9324992,0.03
2022-01-13 17:12:46,NF2,1642068766.1235268,1642068766.123603,0.08
2022-01-13 17:12:46,NF1,1642068766.171661,1642068766.1716902,0.03
2022-01-13 17:12:48,NF2,1642068768.3789122,1642068768.3789363,0.02
2022-01-13 17:12:48,NF1,1642068768.395222,1642068768.3952627,0.04
2022-01-13 17:12:50,NF2,1642068770.4586575,1642068770.4587982,0.14
2022-01-13 17:12:50,NF1,1642068770.5106795,1642068770.5107338,0.05
2022-01-13 17:12:52,NF2,1642068772.6041803,1642068772.6042473,0.07
2022-01-13 17:12:52,NF1,1642068772.6772487,1642068772.6772935,0.04
2022-01-13 17:12:54,NF1,1642068774.8169878,1642068774.8170133,0.03
2022-01-13 17:12:54,NF2,1642068774.9375248,1642068774.9375713,0.05
2022-01-13 17:12:57,NF2,1642068777.1771536,1642068777.1772068,0.05
2022-01-13 17:12:57,NF1,1642068777.2049603,1642068777.2049823,0.02
2022-01-13 17:12:59,NF2,1642068779.281059,1642068779.2811174,0.06
2022-01-13 17:12:59,NF1,1642068779.3831453,1642068779.3831804,0.04
2022-01-13 17:13:01,NF1,1642068781.5529187,1642068781.5529935,0.07
2022-01-13 17:13:01,NF2,1642068781.9339783,1642068781.9340339,0.06
2022-01-13 17:13:04,NF2,1642068784.0937815,1642068784.0938253,0.04
2022-01-13 17:13:04,NF1,1642068784.1553,1642068784.1553257,0.03
2022-01-13 17:13:06,NF2,1642068786.2637713,1642068786.2639918,0.22
2022-01-13 17:13:06,NF1,1642068786.3408298,1642068786.340885,0.06
2022-01-13 17:13:08,NF2,1642068788.4122868,1642068788.4123802,0.09
2022-01-13 17:13:08,NF1,1642068788.4911895,1642068788.4912372,0.05
2022-01-13 17:13:10,NF2,1642068790.6012769,1642068790.6013372,0.06
2022-01-13 17:13:10,NF1,1642068790.6430578,1642068790.6430821,0.02
2022-01-13 17:13:13,NF1,1642068793.0679045,1642068793.0679512,0.05
2022-01-13 17:13:13,NF2,1642068793.1518526,1642068793.1518764,0.02
2022-01-13 17:13:15,NF2,1642068795.080712,1642068795.080749,0.04
2022-01-13 17:13:15,NF1,1642068795.160095,1642068795.1601484,0.05
2022-01-13 17:13:17,NF2,1642068797.249099,1642068797.2491384,0.04
2022-01-13 17:13:17,NF1,1642068797.316279,1642068797.3163204,0.04
2022-01-13 17:13:19,NF1,1642068799.5252056,1642068799.5252585,0.05
2022-01-13 17:13:19,NF2,1642068799.8852646,1642068799.885316,0.05
2022-01-13 17:13:22,NF2,1642068802.068124,1642068802.068176,0.05
2022-01-13 17:13:22,NF1,1642068802.1376057,1642068802.137669,0.06
2022-01-13 17:13:24,NF2,1642068804.2107255,1642068804.210821,0.1
2022-01-13 17:13:24,NF1,1642068804.3068662,1642068804.306944,0.08
2022-01-13 17:13:26,NF2,1642068806.3598819,1642068806.3599255,0.04
2022-01-13 17:13:26,NF1,1642068806.4671657,1642068806.4672348,0.07
2022-01-13 17:13:28,NF2,1642068808.5260577,1642068808.5261312,0.07
2022-01-13 17:13:28,NF1,1642068808.6189737,1642068808.6190338,0.06
2022-01-13 17:13:30,NF1,1642068810.786227,1642068810.786297,0.07
2022-01-13 17:13:30,NF2,1642068810.8700194,1642068810.8700626,0.04
2022-01-13 17:13:33,NF2,1642068813.02944,1642068813.0294623,0.02
2022-01-13 17:13:33,NF1,1642068813.1200893,1642068813.1201134,0.02
2022-01-13 17:13:35,NF2,1642068815.1956406,1642068815.1956823,0.04
2022-01-13 17:13:35,NF1,1642068815.3043582,1642068815.304409,0.05
2022-01-13 17:13:37,NF1,1642068817.4932096,1642068817.4932463,0.04
2022-01-13 17:13:37,NF2,1642068817.8613787,1642068817.861401,0.02
2022-01-13 17:13:40,NF2,1642068820.0506024,1642068820.0506518,0.05
2022-01-13 17:13:40,NF1,1642068820.100621,1642068820.1006446,0.02
2022-01-13 17:13:42,NF2,1642068822.1904469,1642068822.1905382,0.09
2022-01-13 17:13:42,NF1,1642068822.2887356,1642068822.288801,0.07
2022-01-13 17:13:44,NF2,1642068824.3360517,1642068824.3360772,0.03
2022-01-13 17:13:44,NF1,1642068824.452283,1642068824.452351,0.07
2022-01-13 17:13:46,NF2,1642068826.5077362,1642068826.5078268,0.09
2022-01-13 17:13:46,NF1,1642068826.5903006,1642068826.590336,0.04
2022-01-13 17:13:48,NF1,1642068828.8010185,1642068828.8010743,0.06
2022-01-13 17:13:48,NF2,1642068828.8635254,1642068828.8635867,0.06
2022-01-13 17:13:51,NF2,1642068831.0199728,1642068831.0200346,0.06
2022-01-13 17:13:51,NF1,1642068831.0946157,1642068831.094642,0.03
2022-01-13 17:13:53,NF2,1642068833.1919808,1642068833.1921096,0.13
2022-01-13 17:13:53,NF1,1642068833.2748373,1642068833.274881,0.04
2022-01-13 17:13:55,NF1,1642068835.4286847,1642068835.4287882,0.1
2022-01-13 17:13:55,NF2,1642068835.8315449,1642068835.8315701,0.03
2022-01-13 17:13:57,NF2,1642068837.999471,1642068837.999581,0.11
2022-01-13 17:13:58,NF1,1642068838.076855,1642068838.0768847,0.03
2022-01-13 17:14:00,NF2,1642068840.1633513,1642068840.1634321,0.08
2022-01-13 17:14:00,NF1,1642068840.2436903,1642068840.2437499,0.06
2022-01-13 17:14:02,NF2,1642068842.373723,1642068842.373773,0.05
2022-01-13 17:14:02,NF1,1642068842.4381583,1642068842.4382136,0.06
2022-01-13 17:14:04,NF2,1642068844.4930427,1642068844.4931529,0.11
2022-01-13 17:14:04,NF1,1642068844.56373,1642068844.563792,0.06
2022-01-13 17:14:06,NF1,1642068846.717213,1642068846.7172375,0.02
2022-01-13 17:14:06,NF2,1642068846.815313,1642068846.8153598,0.05
2022-01-13 17:14:08,NF2,1642068848.9800968,1642068848.9801528,0.06
2022-01-13 17:14:09,NF1,1642068849.1788938,1642068849.178916,0.02
2022-01-13 17:14:11,NF2,1642068851.1475048,1642068851.1475892,0.08
2022-01-13 17:14:11,NF1,1642068851.2400815,1642068851.2401133,0.03
2022-01-13 17:14:13,NF1,1642068853.395487,1642068853.3955638,0.08
2022-01-13 17:14:13,NF2,1642068853.7909617,1642068853.7909946,0.03
2022-01-13 17:14:15,NF2,1642068855.9740348,1642068855.9741225,0.09
2022-01-13 17:14:16,NF1,1642068856.0394683,1642068856.0395086,0.04
2022-01-13 17:14:18,NF2,1642068858.1479945,1642068858.148074,0.08
2022-01-13 17:14:18,NF1,1642068858.2208443,1642068858.2208903,0.05
2022-01-13 17:14:20,NF2,1642068860.2885034,1642068860.2885673,0.06
2022-01-13 17:14:20,NF1,1642068860.3632271,1642068860.3632681,0.04
2022-01-13 17:14:22,NF2,1642068862.4377115,1642068862.4377615,0.05
2022-01-13 17:14:22,NF1,1642068862.5486028,1642068862.548676,0.07
2022-01-13 17:14:24,NF1,1642068864.6823928,1642068864.682458,0.07
2022-01-13 17:14:24,NF2,1642068864.7951486,1642068864.7952085,0.06
2022-01-13 17:14:26,NF2,1642068866.951368,1642068866.9514499,0.08
2022-01-13 17:14:27,NF1,1642068867.0182827,1642068867.0183272,0.04
2022-01-13 17:14:29,NF2,1642068869.107636,1642068869.1076841,0.05
2022-01-13 17:14:29,NF1,1642068869.2030993,1642068869.2031612,0.06
2022-01-13 17:14:31,NF1,1642068871.354741,1642068871.354776,0.03
2022-01-13 17:14:31,NF2,1642068871.749165,1642068871.7492368,0.07
2022-01-13 17:14:33,NF2,1642068873.9388885,1642068873.9389513,0.06
2022-01-13 17:14:33,NF1,1642068873.9922483,1642068873.9922917,0.04
2022-01-13 17:14:36,NF2,1642068876.0994513,1642068876.0995,0.05
2022-01-13 17:14:36,NF1,1642068876.1754496,1642068876.175543,0.09
2022-01-13 17:14:38,NF2,1642068878.2637262,1642068878.263792,0.07
2022-01-13 17:14:38,NF1,1642068878.3417034,1642068878.3417702,0.07
2022-01-13 17:14:40,NF2,1642068880.4195218,1642068880.419597,0.08
2022-01-13 17:14:40,NF1,1642068880.5024428,1642068880.5024855,0.04
2022-01-13 17:14:42,NF1,1642068882.6645045,1642068882.6645286,0.02
2022-01-13 17:14:42,NF2,1642068882.7577677,1642068882.7578065,0.04
2022-01-13 17:14:44,NF2,1642068884.956337,1642068884.9564788,0.14
2022-01-13 17:14:44,NF1,1642068884.997966,1642068884.9980028,0.04
2022-01-13 17:14:47,NF2,1642068887.0953264,1642068887.095464,0.14
2022-01-13 17:14:47,NF1,1642068887.1783445,1642068887.1784275,0.08
2022-01-13 17:14:49,NF1,1642068889.3554292,1642068889.3554928,0.06
2022-01-13 17:14:49,NF2,1642068889.7364328,1642068889.736468,0.04
2022-01-13 17:14:51,NF2,1642068891.9196498,1642068891.9196906,0.04
2022-01-13 17:14:51,NF1,1642068891.984794,1642068891.9848678,0.07
2022-01-13 17:14:54,NF2,1642068894.073479,1642068894.0735776,0.1
2022-01-13 17:14:54,NF1,1642068894.1505632,1642068894.15064,0.08
2022-01-13 17:14:56,NF2,1642068896.2267513,1642068896.226832,0.08
2022-01-13 17:14:56,NF1,1642068896.3120377,1642068896.3120968,0.06
2022-01-13 17:14:58,NF2,1642068898.3842604,1642068898.3843331,0.07
2022-01-13 17:14:58,NF1,1642068898.4662125,1642068898.4662812,0.07
2022-01-13 17:15:00,NF1,1642068900.6163888,1642068900.6164575,0.07
2022-01-13 17:15:00,NF2,1642068900.7182157,1642068900.718271,0.06
2022-01-13 17:15:02,NF2,1642068902.8801246,1642068902.88018,0.06
2022-01-13 17:15:02,NF1,1642068902.9673903,1642068902.9674354,0.05
2022-01-13 17:15:05,NF2,1642068905.0654278,1642068905.0655427,0.11
2022-01-13 17:15:05,NF1,1642068905.146986,1642068905.147034,0.05
2022-01-13 17:15:07,NF1,1642068907.322916,1642068907.3229525,0.04
2022-01-13 17:15:07,NF2,1642068907.712569,1642068907.7126071,0.04
2022-01-13 17:15:09,NF2,1642068909.8785846,1642068909.8786833,0.1
2022-01-13 17:15:09,NF1,1642068909.9641378,1642068909.9641826,0.04
2022-01-13 17:15:12,NF2,1642068912.0683413,1642068912.0684042,0.06
2022-01-13 17:15:12,NF1,1642068912.142986,1642068912.1430135,0.03
2022-01-13 17:15:14,NF2,1642068914.1913033,1642068914.1913369,0.03
2022-01-13 17:15:14,NF1,1642068914.298753,1642068914.2988842,0.13
2022-01-13 17:15:16,NF2,1642068916.363552,1642068916.3636074,0.06
2022-01-13 17:15:16,NF1,1642068916.4712005,1642068916.4712799,0.08
2022-01-13 17:15:18,NF1,1642068918.6159873,1642068918.6160364,0.05
2022-01-13 17:15:18,NF2,1642068918.7003098,1642068918.7003355,0.03
2022-01-13 17:15:20,NF2,1642068920.8800006,1642068920.880061,0.06
2022-01-13 17:15:20,NF1,1642068920.9859855,1642068920.9860222,0.04
2022-01-13 17:15:23,NF2,1642068923.0257902,1642068923.0258183,0.03
2022-01-13 17:15:23,NF1,1642068923.1420286,1642068923.1421049,0.08
2022-01-13 17:15:25,NF1,1642068925.301367,1642068925.3014007,0.03
2022-01-13 17:15:25,NF2,1642068925.6885667,1642068925.68859,0.02
2022-01-13 17:15:27,NF2,1642068927.8568301,1642068927.8568926,0.06
2022-01-13 17:15:27,NF1,1642068927.9437187,1642068927.9437678,0.05
2022-01-13 17:15:30,NF2,1642068930.0352185,1642068930.0352619,0.04
2022-01-13 17:15:30,NF1,1642068930.1269212,1642068930.1269865,0.07
2022-01-13 17:15:32,NF2,1642068932.1802397,1642068932.1803298,0.09
2022-01-13 17:15:32,NF1,1642068932.290655,1642068932.290715,0.06
2022-01-13 17:15:34,NF2,1642068934.3652587,1642068934.365338,0.08
2022-01-13 17:15:34,NF1,1642068934.4284708,1642068934.428557,0.09
2022-01-13 17:15:36,NF1,1642068936.6018178,1642068936.6018713,0.05
2022-01-13 17:15:36,NF2,1642068936.689708,1642068936.6897416,0.03
2022-01-13 17:15:38,NF2,1642068938.8588462,1642068938.858885,0.04
2022-01-13 17:15:38,NF1,1642068938.9468157,1642068938.946843,0.03
2022-01-13 17:15:41,NF2,1642068941.0185015,1642068941.0186057,0.1
2022-01-13 17:15:41,NF1,1642068941.1042533,1642068941.1043096,0.06
2022-01-13 17:15:43,NF1,1642068943.275628,1642068943.2756684,0.04
2022-01-13 17:15:43,NF2,1642068943.6607673,1642068943.6607962,0.03
2022-01-13 17:15:45,NF2,1642068945.8331335,1642068945.8332188,0.09
2022-01-13 17:15:45,NF1,1642068945.9169486,1642068945.916975,0.03
2022-01-13 17:15:48,NF2,1642068948.1193552,1642068948.1194124,0.06
2022-01-13 17:15:48,NF1,1642068948.252282,1642068948.2523131,0.03
2022-01-13 17:15:50,NF2,1642068950.1713996,1642068950.1714714,0.07
2022-01-13 17:15:50,NF1,1642068950.2523088,1642068950.252387,0.08
2022-01-13 17:15:52,NF2,1642068952.3267572,1642068952.3268237,0.07
2022-01-13 17:15:52,NF1,1642068952.4095092,1642068952.4095461,0.04
2022-01-13 17:15:54,NF1,1642068954.5675979,1642068954.5676534,0.06
2022-01-13 17:15:54,NF2,1642068954.6513486,1642068954.6514077,0.06
2022-01-13 17:15:56,NF2,1642068956.8186188,1642068956.8186617,0.04
2022-01-13 17:15:56,NF1,1642068956.9226995,1642068956.922745,0.05
2022-01-13 17:15:58,NF2,1642068958.9969127,1642068958.9969764,0.06
2022-01-13 17:15:59,NF1,1642068959.076972,1642068959.0770104,0.04
2022-01-13 17:16:01,NF1,1642068961.2429092,1642068961.24298,0.07
2022-01-13 17:16:01,NF2,1642068961.636349,1642068961.636376,0.03
2022-01-13 17:16:03,NF2,1642068963.7930841,1642068963.7931223,0.04
2022-01-13 17:16:03,NF1,1642068963.8884516,1642068963.888477,0.03
2022-01-13 17:16:05,NF2,1642068965.960618,1642068965.9607008,0.08
2022-01-13 17:16:06,NF1,1642068966.0610056,1642068966.061074,0.07
2022-01-13 17:16:08,NF2,1642068968.1258128,1642068968.125888,0.08
2022-01-13 17:16:08,NF1,1642068968.2270074,1642068968.2271042,0.1
2022-01-13 17:16:10,NF2,1642068970.2985024,1642068970.2985876,0.09
2022-01-13 17:16:10,NF1,1642068970.3833554,1642068970.3834136,0.06
2022-01-13 17:16:12,NF1,1642068972.5514035,1642068972.5514696,0.07
2022-01-13 17:16:12,NF2,1642068972.6416206,1642068972.6417985,0.18
2022-01-13 17:16:14,NF2,1642068974.8057911,1642068974.8058565,0.07
2022-01-13 17:16:14,NF1,1642068974.8849797,1642068974.8850067,0.03
2022-01-13 17:16:16,NF2,1642068976.9811633,1642068976.9812794,0.12
2022-01-13 17:16:17,NF1,1642068977.0492427,1642068977.0492759,0.03
2022-01-13 17:16:19,NF1,1642068979.2428641,1642068979.2429452,0.08
2022-01-13 17:16:21,NF1,1642068981.8601916,1642068981.8602278,0.04
2022-01-13 17:16:21,NF2,1642068981.977958,1642068981.9779942,0.04
2022-01-13 17:16:24,NF1,1642068984.1155899,1642068984.1157248,0.13
2022-01-13 17:16:24,NF2,1642068984.1674504,1642068984.1675065,0.06
2022-01-13 17:16:26,NF1,1642068986.2616212,1642068986.261685,0.06
2022-01-13 17:16:28,NF1,1642068988.3934073,1642068988.3934863,0.08
2022-01-13 17:16:28,NF2,1642068988.4617503,1642068988.4618177,0.07
2022-01-13 17:16:30,NF1,1642068990.5295186,1642068990.5296125,0.09
2022-01-13 17:16:30,NF2,1642068990.676776,1642068990.6768458,0.07
2022-01-13 17:16:32,NF2,1642068992.8278968,1642068992.827968,0.07
2022-01-13 17:16:32,NF1,1642068992.8575373,1642068992.8575637,0.03
2022-01-13 17:16:34,NF2,1642068994.9677763,1642068994.967863,0.09
2022-01-13 17:16:35,NF1,1642068995.0291765,1642068995.0292087,0.03
2022-01-13 17:16:37,NF2,1642068997.1119385,1642068997.1120167,0.08
